"h10_g3","h10_g4","h10_g10","h10_g11","h10_eco9","h10_reg7","p1002_8aq1"
1,1956,1,1,151,1,
2,1960,1,1,,1,
1,1985,5,1,510,1,312
1,1986,5,1,254,1,
2,2004,0,1,,1,
1,1935,1,2,,1,
2,1941,1,2,,1,
1,1936,1,2,,1,
2,1940,1,2,,1,
1,1957,1,2,773,1,309.6
2,1960,1,2,,1,
1,1983,5,2,761,1,191.3
1,1950,1,2,873,1,238
2,1953,1,2,951,1,158
1,1962,1,2,510,1,240
2,1963,1,1,922,1,85
2,1989,5,1,285,1,172
1,1959,1,2,875,1,
2,1961,1,1,,1,
1,1986,5,2,231,1,316.7
2,1990,5,2,312,1,200
1,1954,1,2,862,1,166
2,1955,1,2,421,1,100.6
2,1989,5,2,243,1,191.7
1,1971,1,1,,1,
2,1977,1,2,,1,
2,2000,0,2,,1,
1,2002,0,2,,1,
1,2004,0,2,,1,
2,1939,2,1,,1,
1,1949,1,1,,1,
2,1954,1,1,521,1,
1,1978,1,1,311,2,345
2,1982,1,1,,2,
2,2014,0,1,,2,
1,1942,1,1,,1,
2,1949,1,1,,1,
1,1995,5,2,,1,
1,1998,0,2,,1,
2,1980,1,2,,1,
1,1975,1,2,223,1,634.2
2,1974,1,2,252,1,400
2,2006,0,2,,1,
2,2008,0,2,,1,
2,2011,0,2,,1,
2,1957,3,1,421,1,106.5
2,1943,2,1,941,1,57
1,1973,5,1,521,1,268.8
1,1960,1,1,761,1,397.5
2,1966,1,1,510,1,625
2,1991,5,1,254,1,180
2,1992,1,1,,1,
2,1943,2,2,,1,
2,1924,2,2,,1,
2,1971,1,1,259,1,109.7
2,1998,0,1,,1,
2,1999,0,1,,1,
1,1968,1,2,771,1,220.3
1,1958,1,1,721,1,276.3
2,1958,1,1,930,1,123.2
1,1986,1,2,135,1,167.5
1,1984,5,1,245,1,231
2,1984,1,2,,1,
1,2013,0,2,,1,
1,1966,1,1,862,1,428.7
2,1968,1,1,399,1,60
1,2000,0,1,,1,
1,1974,1,2,773,1,247
2,1973,1,2,930,1,131.8
2,2003,0,2,,1,
1,2004,0,2,,1,
1,1959,1,1,,1,
2,1959,1,1,,1,
2,1984,5,1,,1,
1,1986,5,1,312,1,220
1,1960,1,2,530,1,
2,1960,1,1,521,1,120
1,1988,5,2,,1,
1,1985,5,2,221,1,393.3
2,1960,4,1,951,1,108
1,1987,5,1,,1,
2,1943,4,1,941,1,73
2,1971,5,2,422,1,234
1,1959,1,2,873,1,
2,1965,1,2,930,1,
1,1987,5,2,,1,
2,1988,5,2,,1,
1,1938,3,1,941,1,
2,1939,2,1,,1,
1,1964,5,1,751,1,205
1,1969,1,2,312,1,251
2,1977,1,2,314,1,140
2,1939,2,1,,1,
2,2006,0,2,,1,
1,2010,0,2,,1,
2,1971,1,2,312,2,275
1,1966,1,1,251,2,145.8
1,2011,0,2,,2,
1,1965,5,2,,1,
2,1958,3,1,521,1,190
1,1987,5,1,399,1,150
1,1938,2,2,,1,
2,1942,2,1,,1,
1,1925,1,2,,1,
2,1936,1,2,,1,
2,1953,2,1,951,1,
1,1978,1,1,753,1,408
1,1979,5,1,141,1,500
2,1979,1,1,,1,
1,2009,0,1,,1,
1,2011,0,1,,1,
2,1946,3,1,,1,
1,1957,5,2,941,1,52.8
2,1934,2,1,,1,
1,1972,1,2,722,1,238.3
2,1965,1,2,930,1,114.2
1,1999,0,2,,1,
2,1958,1,1,422,1,
2,1983,1,2,320,2,0
1,1984,1,2,761,2,266.7
1,1955,1,1,773,1,
1,1975,1,2,246,2,341.6
2,1984,1,2,,2,
1,2014,0,2,,2,
2,2013,0,2,,2,
1,1945,3,2,942,1,220.2
2,1982,5,1,289,1,194.3
2,1957,2,1,951,1,
2,1979,1,2,320,1,130
1,1975,1,2,231,1,416.6
1,2012,0,2,,1,
1,1932,1,1,,1,
2,1940,1,1,,1,
1,1959,1,1,,1,
2,1964,1,1,952,1,192
2,1989,5,1,254,1,583.3
2,1990,5,1,243,1,260
1,1952,3,1,,1,
1,1952,1,1,,1,
2,1950,1,1,,1,
2,1980,5,1,,1,
1,1972,1,1,281,1,420.6
2,1976,1,1,,1,
2,2003,0,1,,1,
2,2005,0,1,,1,
2,2007,0,1,,1,
1,1959,1,1,741,1,313.3
2,1962,1,1,952,1,126
2,1986,5,1,243,1,233
2,1989,5,1,289,1,166.7
1,1967,1,2,873,1,
2,1968,1,2,422,1,
2,1995,5,2,,1,
1,2000,0,2,,1,
1,1973,1,1,312,1,416
2,1976,1,1,313,1,140
1,2006,0,1,,1,
1,1973,1,2,312,1,358
2,1973,1,2,313,1,110
2,2000,0,2,,1,
1,2002,0,2,,1,
1,1964,1,2,261,1,400
2,1962,1,1,247,1,50
2,1991,5,1,,1,
1,1947,1,1,,1,
2,1958,1,1,422,1,
1,1976,1,1,941,1,
2,1981,1,1,254,1,120
1,2008,0,1,,1,
2,1951,2,1,,1,
2,1933,2,1,,1,
1,1976,1,2,245,2,325
2,1977,1,2,,2,
1,2004,0,2,,2,
1,2007,0,2,,2,
1,1933,1,1,,1,
2,1936,1,1,,1,
1,1958,1,1,873,1,162
2,1962,1,1,,1,
1,1988,5,1,245,1,209.9
1,1977,1,2,441,7,324
2,1977,1,2,246,7,162
2,2007,0,2,,7,
2,2009,0,2,,7,
1,2011,0,2,,7,
1,1935,2,2,,1,
1,1985,1,2,312,5,185
2,1982,1,2,864,5,320
1,1979,1,2,222,2,
2,1979,1,2,,2,
1,2007,0,2,,2,
2,2013,0,2,,2,
2,1946,2,2,,2,
1,1944,1,1,873,1,
2,1952,1,1,,1,
1,1944,1,1,,2,
2,1952,1,1,,2,
1,1963,1,2,312,1,426.7
2,1968,1,2,243,1,303.9
1,2000,0,2,,1,
1,1946,1,2,942,1,139
2,1948,1,1,,1,
1,1932,1,2,,1,
2,1936,1,2,,1,
1,1935,1,1,,1,
2,1942,1,1,,1,
1,1977,1,1,510,2,429.7
2,1979,1,1,,2,
1,2006,0,1,,2,
2,2008,0,1,,2,
2,1930,2,2,,1,
1,1960,5,2,910,1,
2,1930,2,1,,1,
1,1965,1,2,762,1,
2,1970,1,2,,1,
2,1995,5,2,,1,
2,2001,0,2,,1,
2,1940,2,2,,1,
2,1943,2,1,999,1,20
1,1938,1,1,,1,
2,1946,1,2,,1,
1,1954,1,2,873,1,
2,1958,1,2,521,1,
1,1984,5,2,910,1,
2,1937,2,1,930,1,
2,1962,2,1,,1,
2,1941,2,1,930,1,85.42
1,1968,5,1,952,1,85.42
1,1965,1,1,999,1,
2,1967,1,1,999,1,
2,1992,5,1,,1,
1,1995,5,1,,1,
2,1967,3,2,951,1,107
1,1995,5,2,952,1,92
1,1996,5,2,,1,
2,1953,2,1,951,1,76.8
1,1978,1,1,761,1,
2,1978,1,1,313,1,193.2
2,2008,0,1,,1,
2,2010,0,1,,1,
1,1974,1,2,221,1,468.3
2,1979,1,1,313,1,219.1
2,2007,0,1,,1,
2,1954,2,1,,2,
1,1944,1,1,,1,
2,1944,1,1,,1,
1,1952,1,2,,1,
2,1956,1,2,,1,
2,1984,1,2,,5,
1,1983,1,1,761,5,300
1,2010,0,2,,5,
2,2013,0,2,,5,
1,1938,1,1,,1,
2,1948,1,1,,1,
2,1942,2,1,,1,
2,1965,1,2,530,1,240
2,1994,5,2,521,1,
1,1959,1,2,873,1,
2,1941,1,1,,1,
1,1940,1,1,,1,
1,1953,1,2,942,1,150
2,1959,1,2,952,1,
1,1932,1,2,,1,
2,1936,1,2,,1,
1,1960,1,1,942,1,166
2,1963,1,1,951,1,100
2,1990,5,2,,1,
1,1963,1,1,873,6,
2,1990,1,1,,6,
2,2011,0,1,,6,
2,2013,0,1,,6,
1,1977,1,1,411,1,387.5
2,1978,1,1,243,1,436.7
2,1980,1,2,,7,
2,2006,0,1,,1,
2,1950,2,1,,1,
2,1983,5,1,313,1,183.3
1,2008,0,1,,1,
1,1980,1,2,510,7,375
1,2010,0,2,,7,
1,2013,0,2,,7,
1,1948,1,1,772,1,220
2,1950,1,1,941,1,30
2,1976,1,1,,1,
1,1977,5,1,,1,
1,1973,1,1,231,1,330
1,2008,0,1,,1,
1,1968,1,2,721,1,
2,1966,1,2,721,1,310
1,1998,0,2,,1,
2,2000,0,2,,1,
1,1938,1,2,,1,
2,1946,1,2,951,1,150
1,1970,5,2,799,1,
1,1973,5,2,,1,
1,1959,1,2,910,1,150
2,1964,1,2,951,1,100
2,1986,5,2,313,1,140
2,1988,5,2,,1,
1,1961,1,1,510,1,267
2,1962,1,1,,1,
2,1997,0,1,,1,
1,1998,0,1,,1,
1,1939,1,1,942,1,
2,1940,1,1,,1,
1,1945,1,2,,1,
2,1949,1,2,,1,
1,1972,1,2,873,1,185
2,1972,1,2,,1,
1,2000,0,2,,1,
2,1979,1,2,285,1,363.3
1,1978,1,2,510,1,411.7
2,2010,0,2,,1,
1,1973,1,2,254,1,266
2,1969,1,2,259,1,408
2,2007,0,1,,1,
1,2010,0,1,,1,
1,1936,1,1,,1,
2,1946,1,1,,1,
2,1977,3,1,313,2,150
2,2008,0,1,,2,
1,1947,1,1,942,2,150
2,1949,1,1,,2,
1,1973,2,1,743,2,170
1,2002,0,1,,2,
2,2004,0,1,,2,
1,1936,2,1,,1,
2,1957,3,1,722,1,162
2,1987,5,1,399,1,170
1,1991,5,1,,1,
1,1959,3,2,,1,
1,1955,1,1,251,1,70
2,1960,1,1,,1,
1,1989,5,1,753,3,270
1,1957,3,2,530,1,
1,1989,5,2,930,1,164.7
2,1934,2,2,,1,
1,1952,3,2,942,1,170
1,1960,1,2,999,1,
2,1960,1,2,999,1,
2,1988,5,1,,1,
2,1993,5,1,521,1,120
1,1972,1,1,780,1,419.16
2,1973,1,1,259,1,204.66
1,2000,0,1,,1,
2,1944,2,1,,1,
2,1971,5,1,281,1,
2,1976,1,2,312,1,433.3
1,1982,5,1,510,1,233
1,1973,1,2,235,1,800
1,1950,1,1,873,1,
2,1953,1,1,941,1,96
1,1982,5,1,252,1,333
2,1937,3,1,,1,
1,1934,1,1,,1,
2,1934,1,1,,1,
1,1938,2,2,,1,
2,1963,3,1,442,1,220
2,1992,5,1,,1,
2,1995,5,1,311,1,218
1,1954,2,2,,1,
2,1994,5,1,,1,
1,1997,0,1,,1,
1,1965,1,1,772,1,
2,1969,1,1,930,1,170
2,1992,5,1,,1,
2,1993,5,1,422,1,120
2,2000,0,1,,1,
1,1970,1,1,873,1,280
2,1971,1,1,930,1,193
2,2001,0,1,,1,
2,2003,0,1,,1,
2,1944,3,1,941,1,17
2,1950,3,1,930,1,80.4
1,1971,2,2,149,1,138
1,1997,0,2,,1,
1,1932,1,1,,1,
2,1936,1,1,,1,
1,1957,1,2,442,1,
2,1958,1,1,441,1,
2,1979,1,2,,2,
1,1983,5,2,442,1,
1,1975,1,2,246,2,311
2,2009,0,2,,2,
1,2012,0,2,,2,
1,1962,1,2,891,1,250
2,1964,1,2,721,1,98.33
1,1990,5,2,,1,
1,1952,1,2,442,1,
2,1957,1,2,442,1,
1,1981,5,2,246,1,506.66
2,1984,5,2,320,1,254.16
1,1952,3,2,,1,
1,1929,2,2,,1,
2,1931,2,2,,1,
2,1960,5,2,,1,
1,1936,1,2,,1,
2,1936,1,2,,1,
1,1960,5,2,,1,
1,1966,1,2,823,1,
2,1966,1,1,999,1,
2,2004,0,1,,1,
2,2004,0,1,,1,
1,1938,1,1,,1,
2,1939,1,1,,1,
1,1960,1,2,875,1,
2,1962,1,2,521,1,110
2,1987,5,2,320,1,318.33
1,1961,1,1,159,1,
2,1968,1,1,,1,
1,1998,0,1,,1,
2,1999,0,1,,1,
1,1964,1,1,248,1,230
2,1975,1,1,442,1,150
2,1997,0,1,,1,
1,1999,0,1,,1,
2,1942,3,1,,1,
1,1936,1,1,,1,
2,1939,1,1,,1,
2,2008,0,1,,1,
2,2011,0,1,,1,
1,1974,1,2,773,2,200
2,1981,1,2,,2,
2,2007,0,2,,2,
1,1940,1,1,,1,
2,1943,1,1,,1,
1,2000,0,1,,1,
1,1968,3,1,521,1,
1,1955,1,1,874,1,
2,1961,1,1,951,1,151.2
1,1993,5,1,,1,
1,1961,1,2,892,1,310.5
2,1961,1,1,,1,
1,1938,1,1,,1,
2,1943,1,1,,1,
1,1979,1,2,312,1,291.7
2,1983,1,2,,1,
1,2010,0,2,,1,
1,1945,1,1,254,1,
2,1953,1,1,,1,
2,1918,2,2,,1,
2,1946,2,2,521,1,
2,1947,3,2,,1,
1,2001,0,2,,1,
1,1926,1,1,,1,
2,1935,1,1,,1,
1,1944,1,2,,1,
2,1950,1,2,,1,
1,1978,5,2,320,1,600
2,1979,5,2,313,1,201.66
1,1981,5,2,442,1,68
2,1927,2,1,,1,
1,1973,5,1,221,1,365.3
1,1943,2,2,,1,
1,1970,1,1,873,1,280
2,1969,1,1,313,1,301.9
1,1999,0,1,,1,
1,1930,1,1,,1,
2,1932,1,1,,1,
2,1943,2,1,,1,
1,1979,5,1,721,1,
1,1942,1,1,241,1,
2,1943,1,1,,1,
1,1947,1,1,,1,
2,1948,1,1,,1,
2,1980,5,1,285,1,313
1,1963,1,1,773,1,
2,1961,1,1,422,1,50
1,1937,1,1,254,1,20
2,1937,1,1,,1,
1,1937,1,2,,1,
2,1943,1,2,,1,
1,1936,1,1,,1,
2,1939,1,1,,1,
2,1958,1,1,999,1,139.58
1,1988,5,1,530,1,150
1,1969,1,2,773,1,373.83
2,1971,1,2,,1,
2,2000,0,2,,1,
2,2002,0,2,,1,
2,1972,1,2,239,2,287.5
1,1979,1,2,221,2,250
2,2010,0,2,,2,
1,2012,0,2,,2,
2,1956,2,1,442,1,208.73
1,1982,5,1,442,1,270.3
1,1945,1,2,141,1,
2,1948,1,2,,1,
2,1954,3,1,521,2,95
1,1974,1,2,521,1,550
2,1974,1,2,442,1,
2,2005,0,2,,1,
1,1963,1,1,791,1,245.3
2,1964,1,1,421,1,20
2,1990,5,1,245,1,200.3
1,1991,5,1,,1,
2,1935,2,1,,1,
1,1950,1,1,,1,
2,1953,1,2,,1,
2,1987,1,2,,1,
1,1928,1,2,,1,
2,1930,1,2,,1,
2,1958,3,2,930,1,147.9
1,1984,5,2,922,1,163
1,1950,1,2,,6,
2,1954,1,2,,6,
1,1977,1,2,271,1,672
2,1979,1,2,313,1,286.6
2,1979,1,2,,1,
1,2010,0,2,,1,
1,1980,1,2,313,1,375
2,1969,1,2,,2,
1,1970,1,2,312,2,610
2,1946,2,1,721,1,153
1,1982,1,1,761,2,410
2,1982,1,1,,2,
2,2008,0,1,,2,
2,1949,2,1,941,1,67
1,1975,5,2,773,1,180
2,1997,0,1,,1,
1,2000,0,1,,1,
1,1963,1,1,722,1,215.5
2,1973,1,1,,1,
2,1998,0,1,,1,
2,2000,0,1,,1,
2,2004,0,1,,1,
2,2007,0,1,,1,
2,1943,2,1,,1,
1,1932,1,1,,1,
2,1938,1,1,,1,
1,1969,5,1,,1,
2,1930,2,2,,1,
2,1953,3,1,,2,
2,1983,1,2,,2,
2,2013,0,2,,2,
1,1978,1,2,892,2,280
1,2010,0,2,,2,
1,1965,1,2,235,1,500
2,1974,1,2,313,1,218.3
2,2004,0,2,,1,
2,2006,0,2,,1,
1,1969,1,2,311,2,503
2,1973,1,1,252,2,465
2,2000,0,2,,2,
1,2003,0,2,,2,
2,1943,3,2,941,1,76.1
1,1969,1,2,411,1,531
2,1972,1,2,259,1,140
2,2000,0,1,,1,
2,2002,0,1,,1,
1,1975,1,2,852,1,365.5
2,1976,1,2,,1,
1,2004,0,2,,1,
1,2009,0,2,,1,
2,1939,2,1,,1,
1,1969,5,1,,1,
1,1956,1,2,,1,
2,1958,1,1,,1,
2,1963,5,2,,1,
2,1989,5,2,,1,
1,1948,1,1,873,1,
2,1954,1,1,,1,
2,1979,1,2,,1,
1,1979,1,2,873,1,286.16
2,2011,0,2,,1,
1,2013,0,2,,1,
1,1957,1,1,773,1,
2,1955,1,1,,1,
1,1968,1,2,871,1,520.8
2,1971,1,2,,1,
1,1999,0,2,,1,
1,1958,2,1,773,1,
2,1990,5,1,,1,
1,1993,5,1,,1,
1,1955,1,2,141,1,417
2,1962,1,2,391,1,167
2,1986,5,2,,1,
1,1990,5,2,,1,
2,1950,5,2,,1,
2,1930,2,1,,1,
1,1933,1,1,,1,
2,1939,1,1,,1,
1,1965,5,1,,1,
2,1940,2,1,,1,
1,1942,3,1,941,1,
1,1975,1,2,510,1,393.2
2,1980,1,2,,1,
1,2007,0,2,,1,
2,2009,0,2,,1,
1,1952,1,1,,1,
2,1960,1,1,,1,
2,1982,1,1,892,1,165.6
1,1984,5,1,,1,
1,1935,1,2,,1,
2,1942,1,1,,1,
1,1973,1,1,773,1,
2,1976,1,1,,1,
1,1935,1,2,620,1,
2,1941,1,2,,1,
1,1926,2,2,,1,
1,1949,1,1,942,1,100
2,1955,1,1,930,1,123.8
2,1990,5,1,312,1,222.5
1,1937,1,1,,1,
2,1936,1,1,,1,
2,1988,5,2,521,2,
2,1990,5,1,521,2,212
2,1992,5,1,312,2,183
1,1954,1,2,941,2,185
2,1960,1,1,951,2,
2,1934,2,1,,1,
1,1963,5,1,,1,
1,1968,5,2,773,1,
2,1945,2,2,,1,
2,1991,5,1,313,1,135
1,1993,5,1,,1,
1,1970,5,2,,1,
1,1970,5,2,,1,
1,1975,1,1,231,1,350.6
2,1968,1,1,274,1,
2,2005,0,1,,1,
2,2007,0,1,,1,
2,1971,5,2,131,1,340
1,1946,1,1,823,1,
2,1951,1,1,999,1,
2,1979,1,1,311,1,375
1,1978,1,1,311,1,405.8
2,2007,0,1,,1,
1,2010,0,1,,1,
1,1945,1,1,,1,
2,1951,1,1,,1,
1,1982,1,1,135,1,
2,1990,1,1,313,1,162
1,1967,1,2,151,1,202
2,1970,1,2,521,1,93
1,1995,5,2,,1,
2,1999,0,2,,1,
2,1933,2,1,,2,
1,1947,1,1,910,1,
2,1942,1,1,,1,
1,1993,5,2,,1,
2,1995,5,2,313,1,132.5
2,1942,2,1,,1,
1,1961,5,2,772,1,
1,1932,1,2,,1,
2,1939,1,2,,1,
2,1978,5,2,313,1,175
1,1983,5,1,761,1,150
1,1949,3,1,,1,
2,1927,2,1,,1,
1,1945,1,2,,1,
2,1951,1,1,,1,
2,1965,3,2,441,1,186.8
2,1986,5,2,286,1,150
1,1969,1,2,772,1,
2,1930,2,2,,1,
2,1992,1,2,,1,
2,2014,0,2,,1,
1,1945,1,2,,1,
2,1949,1,2,,1,
1,1968,1,2,254,2,
2,1969,1,2,254,2,
1,1997,0,2,,2,
1,1959,1,1,873,2,269
2,1960,1,1,941,2,30.8
2,1986,1,2,,2,
1,1980,1,2,431,2,407
2,1964,3,1,521,1,164.7
1,1962,1,1,259,1,150
2,1965,1,1,,1,
2,1991,5,1,,1,
1,1994,5,1,,1,
1,1935,3,1,,1,
1,1956,1,1,930,1,
2,1959,1,1,930,1,
2,1993,5,1,710,1,120
1,1988,5,1,399,1,275
1,1965,1,2,811,1,
2,1965,1,2,811,1,
2,1992,5,2,,1,
2,1996,5,2,,1,
1,1964,1,1,312,1,375.1
2,1966,1,1,421,1,120
1,1990,5,1,930,1,
2,1997,0,1,,1,
2,1953,3,1,,1,
1,1951,3,2,,1,
2,1980,5,2,510,1,333
2,1944,1,1,530,1,
1,1939,1,2,,1,
1,1950,1,2,,1,
2,1954,1,2,,1,
2,1984,1,2,314,1,195
2,1987,5,2,243,1,233
1,1978,1,2,272,1,373
2,1960,3,1,951,1,56
2,1992,5,1,314,2,135
2,1995,5,1,,1,
2,1974,1,1,521,1,192.5
1,1975,1,1,441,1,165
1,1968,1,2,873,1,375
2,1971,1,2,429,1,150
2,1997,0,2,,1,
1,1969,1,2,213,1,760
2,1970,1,2,,1,
2,2002,0,2,,1,
1,1958,1,2,863,1,250
2,1958,1,2,,1,
2,1960,4,2,521,1,
2,1984,5,2,,1,
1,1957,1,2,521,5,
2,1960,1,2,521,5,
2,1995,5,2,320,5,258.3
2,1995,5,2,392,1,155.5
1,1968,1,2,842,1,
2,1971,1,1,421,1,56
1,1998,0,2,,1,
1,2001,0,2,,1,
1,1952,1,1,141,1,295
2,1952,1,1,951,1,
2,1978,1,1,252,1,321
2,1983,5,1,281,1,
1,1975,1,1,,1,
1,2008,0,1,,1,
2,2010,0,1,,1,
1,1953,1,2,,1,
2,1960,1,1,442,1,
2,1980,1,1,,1,
2,1983,1,1,,2,
1,1979,1,1,239,1,483
2,2010,0,1,,1,
1,1977,1,2,311,2,210
1,1958,1,2,741,1,
2,1965,1,2,952,1,
2,1993,5,2,,1,
2,1995,5,2,,1,
2,1932,2,1,,1,
1,1965,3,2,910,1,
1,1939,1,2,941,1,93.1
2,1947,1,2,941,1,93.1
2,1945,2,1,421,1,20
2,1930,2,1,,1,
2,1937,2,1,,1,
2,1940,2,1,,1,
1,1966,3,1,521,1,
2,1995,5,1,442,1,
2,1996,5,1,,1,
2,1949,2,1,,1,
2,1945,2,2,,1,
2,1930,2,1,,1,
1,1935,1,2,,1,
2,1937,1,2,,1,
1,1949,1,2,283,2,100
2,1956,1,1,,2,
2,1979,5,2,,2,
2,1956,3,2,441,1,
2,1988,5,2,521,1,221.6
1,1932,1,2,,1,
2,1942,1,1,,1,
1,1960,1,1,780,1,417
2,1965,1,1,,1,
2,1996,5,1,,1,
1,1950,1,2,422,1,
2,1957,1,2,,1,
1,1980,1,2,284,2,336
1,1982,5,2,134,1,300
2,1982,1,2,284,2,83
2,1970,2,1,259,1,77
1,2000,0,1,,1,
1,2001,0,1,,1,
1,1966,1,1,,1,
2,1970,1,1,951,1,40
2,1998,0,1,,1,
2,2000,0,1,,1,
1,1940,1,2,611,1,
2,1944,1,1,,1,
1,1972,5,2,799,1,178
2,1940,2,1,,1,
2,1958,3,2,442,1,199.5
2,1984,5,2,314,1,155
1,1946,1,1,274,1,
2,1950,1,1,,1,
1,1969,1,2,521,1,285
2,1972,1,2,441,1,122
2,2001,0,2,,1,
2,2003,0,2,,1,
1,1960,1,2,910,1,
2,1962,1,1,442,1,
1,1942,1,1,942,1,120
2,1941,1,1,,1,
1,1952,1,2,521,1,
2,1956,1,2,953,1,
2,1982,1,2,313,1,266.6
1,1976,1,2,780,1,460.1
1,2009,0,2,,1,
1,1939,1,2,,1,
2,1943,1,1,,1,
2,1932,2,1,,2,
2,1990,1,2,247,2,150
1,1986,1,2,510,2,255
1,1948,1,2,,1,
2,1952,1,2,941,1,119
1,1945,1,1,,1,
2,1947,1,1,,1,
1,1957,1,1,772,1,
2,1962,1,1,,1,
2,1981,5,1,391,1,100
1,1983,5,1,442,1,190
2,1954,2,1,952,1,75.75
2,1975,5,1,285,1,322.58
1,1939,1,2,,1,
2,1946,1,1,,1,
1,1968,1,1,271,1,553
2,1969,1,1,,1,
2,1997,0,1,,1,
1,2000,0,1,,1,
1,1964,1,1,,1,
2,1972,1,1,930,1,
2,2001,0,1,,1,
1,2002,0,1,,1,
1,1962,1,1,235,1,535
2,1961,1,1,,1,
2,1986,5,1,313,1,150
1,1943,1,2,,1,
2,1946,1,2,,1,
1,1940,1,1,,1,
2,1942,1,1,,1,
2,1947,3,2,,7,
2,1954,2,2,,1,
1,1942,1,2,,1,
2,1947,1,2,,1,
1,1975,1,1,274,1,343.3
2,1981,1,1,,1,
1,2011,0,2,,1,
1,2013,0,2,,1,
2,1944,3,1,,1,
